CAD_U|CAPSM|E63|ONS|20130326235027|A-32L|13002548|MED|CASLU2013002239//3/27/2013 12:10:31 AM
CAD_U|CABEU|E4675|AIQ|20130325075329|BEU-30|||//3/27/2013 12:28:16 AM
CAD_U|CABEU|E4675|AIQ|20130325075329|BEU-30|||//3/27/2013 12:28:16 AM
CAD_U|CABEU|GAB6|AIQ|20130325071634|BEU-30|||//3/27/2013 12:28:16 AM
CAD_U|CABEU|GAB6|AIQ|20130325071634|BEU-30|||//3/27/2013 12:28:16 AM
CAD_U|CABEU|GAB6|AIQ|20130325071634|BEU-30|||//3/27/2013 12:28:16 AM
CAD_U|CABEU|E4676|AIQ|20130325103250|BEU-30|||//3/27/2013 12:28:17 AM
CAD_U|CABEU|E4676|AIQ|20130325103250|BEU-30|||//3/27/2013 12:28:17 AM
CAD_U|CABEU|E4676|AIQ|20130325103250|BEU-30|||//3/27/2013 12:28:17 AM
CAD_U|CAFKU|E4354|AIQ|20130301093917|FKU-1A|||//3/27/2013 12:28:17 AM
CAD_U|CAFKU|E4354|AIQ|20130301093917|FKU-1A|||//3/27/2013 12:28:17 AM
CAD_U|CAFKU|E4354|AIQ|20130301093917|FKU-1A|||//3/27/2013 12:28:17 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//3/27/2013 12:28:18 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//3/27/2013 12:28:18 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//3/27/2013 12:28:18 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//3/27/2013 12:28:18 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//3/27/2013 12:28:19 AM
CAD_U|CAFKU|E4371|AIQ|20130227105257|FKU-2|||//3/27/2013 12:28:19 AM
CAD_U|CABEU|E4679|AIQ|20130325103251|BEU-30|||//3/27/2013 12:28:19 AM
CAD_U|CABEU|E4679|AIQ|20130325103251|BEU-30|||//3/27/2013 12:28:19 AM
CAD_U|CAFKU|E4382|AIQ|20130206140833|FKU-2|||//3/27/2013 12:28:20 AM
CAD_U|CAFKU|E4382|AIQ|20130206140833|FKU-2|||//3/27/2013 12:28:20 AM
CAD_U|CAFKU|E4382|AIQ|20130206140833|FKU-2|||//3/27/2013 12:28:20 AM
CAD_U|CAFKU|E4352|AIQ|20130227172730|FKU-2|||//3/27/2013 12:28:20 AM
CAD_U|CAFKU|E4352|AIQ|20130227172730|FKU-2|||//3/27/2013 12:28:20 AM
CAD_U|CAFKU|E4352|AIQ|20130227172730|FKU-2|||//3/27/2013 12:28:20 AM
CAD_U|CAFKU|MIR1|AIQ|20130311074754|FKU-2|||//3/27/2013 12:28:21 AM
CAD_U|CAFKU|MIR1|AIQ|20130311074754|FKU-2|||//3/27/2013 12:28:21 AM
CAD_U|CAFKU|MIR1|AIQ|20130311074754|FKU-2|||//3/27/2013 12:28:21 AM
