CAD_U|CASLC|E43|ENR|20130129002537|C-7A|13000865|MED|CASLU2013000764//1/29/2013 12:25:38 AM
CAD_E|CASLC13000865|CASLU2013000764|EMS3CDF/|20130129002146|MED|MEDICAL AID CODE 3|-120.493275|35.549535|4225 CAMP 8 RD ||4300 BLK HWY 41 E|5000 BLK COLUMET LN|633_B_5/633_B_5||||E43|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/29/2013 12:31:36 AM
CAD_U|CASLC|E43|ONS|20130129003136|C-7A|13000865|MED|CASLU2013000764//1/29/2013 12:31:36 AM
CAD_U|CABEU|D4641|AIQ|20130128073745|BEU-30|||//1/29/2013 12:48:07 AM
CAD_U|CABEU|D4641|AIQ|20130128073745|BEU-30|||//1/29/2013 12:48:07 AM
CAD_U|CABEU|D4641|AIQ|20130128073745|BEU-30|||//1/29/2013 12:48:07 AM
CAD_U|CABEU|D4645|AIQ|20130127074514|BEU-30|||//1/29/2013 12:48:11 AM
CAD_U|CABEU|D4645|AIQ|20130127074514|BEU-30|||//1/29/2013 12:48:11 AM
CAD_U|CABEU|D4645|AIQ|20130127074514|BEU-30|||//1/29/2013 12:48:11 AM
CAD_U|CABEU|E4663|AIQ|20121013213447|BEU-30|||//1/29/2013 12:48:12 AM
CAD_U|CABEU|E4663|AIQ|20121013213447|BEU-30|||//1/29/2013 12:48:12 AM
CAD_U|CABEU|E4663|AIQ|20121013213447|BEU-30|||//1/29/2013 12:48:12 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//1/29/2013 12:48:13 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//1/29/2013 12:48:13 AM
CAD_U|CABEU|E4677|AIQ|20121211160744|BEU-30|||//1/29/2013 12:48:13 AM
CAD_U|CABEU|E4681|AIQ|20130128102444|BEU-30|||//1/29/2013 12:48:14 AM
CAD_U|CABEU|E4681|AIQ|20130128102444|BEU-30|||//1/29/2013 12:48:14 AM
CAD_U|CABEU|E4681|AIQ|20130128102444|BEU-30|||//1/29/2013 12:48:14 AM
CAD_U|CABEU|E4684|AIQ|20130128074833|BEU-35|||//1/29/2013 12:48:15 AM
CAD_U|CABEU|E4684|AIQ|20130128074833|BEU-35|||//1/29/2013 12:48:15 AM
CAD_U|CABEU|E4684|AIQ|20130128074833|BEU-35|||//1/29/2013 12:48:15 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//1/29/2013 12:48:17 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//1/29/2013 12:48:17 AM
CAD_U|CABEU|E4691|AIQ|20130111124344|BEU-30|||//1/29/2013 12:48:17 AM
CAD_U|CABEU|GAB1|AIQ|20130128075233|BEU-30|||//1/29/2013 12:48:18 AM
CAD_U|CABEU|GAB1|AIQ|20130128075233|BEU-30|||//1/29/2013 12:48:18 AM
CAD_U|CABEU|GAB1|AIQ|20130128075233|BEU-30|||//1/29/2013 12:48:18 AM
CAD_U|CABEU|GAB2|AIQ|20130128075340|BEU-30|||//1/29/2013 12:48:19 AM
CAD_U|CABEU|GAB2|AIQ|20130128075340|BEU-30|||//1/29/2013 12:48:19 AM
CAD_U|CABEU|GAB2|AIQ|20130128075340|BEU-30|||//1/29/2013 12:48:19 AM
CAD_U|CABEU|GAB3|AIQ|20130118071755|BEU-30|||//1/29/2013 12:48:20 AM
