CAD_U|CABEU|E4685|AIQ|20160603154710|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4685|AIQ|20160603154710|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/13/2016 1:01:55 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/13/2016 1:01:55 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4691|AIQ|20160321082725|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4691|AIQ|20160321082725|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4691|AIQ|20160321082725|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4693|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4693|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4693|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4694|AIQ|20160607194026|BEU-19|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4694|AIQ|20160607194026|BEU-19|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4699|AIQ|20160611223423|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|E4699|AIQ|20160611223423|BEU-30|||//6/13/2016 1:01:56 AM
CAD_U|CABEU|GAB2|AIQ|20160527062252|BEU-30|||//6/13/2016 1:01:57 AM
CAD_U|CABEU|GAB2|AIQ|20160527062252|BEU-30|||//6/13/2016 1:01:57 AM
CAD_U|CABEU|GAB2|AIQ|20160527062252|BEU-30|||//6/13/2016 1:01:57 AM
CAD_U|CABEU|GAB5|AIQ|20160611065408|BEU-30|||//6/13/2016 1:01:57 AM
CAD_U|CABEU|GAB5|AIQ|20160611065408|BEU-30|||//6/13/2016 1:01:57 AM
CAD_U|CABEU|GAB5|AIQ|20160611065408|BEU-30|||//6/13/2016 1:01:57 AM
CAD_U|CAFKU|E4362|AIQ|20160520100657|FKU-2|||//6/13/2016 1:01:57 AM
CAD_U|CAFKU|E4362|AIQ|20160520100657|FKU-2|||//6/13/2016 1:01:57 AM
CAD_U|CAFKU|E4362|AIQ|20160520100657|FKU-2|||//6/13/2016 1:01:57 AM
CAD_U|CAFKU|E4363|AIQ|20160520091022|FKU-2|||//6/13/2016 1:01:58 AM
CAD_U|CAFKU|E4363|AIQ|20160520091022|FKU-2|||//6/13/2016 1:01:58 AM
CAD_U|CAFKU|E4363|AIQ|20160520091022|FKU-2|||//6/13/2016 1:01:58 AM
CAD_U|CABEU|HLT406|AIQ|20160424074545|BEU-30|||//6/13/2016 1:01:58 AM
CAD_U|CABEU|HLT406|AIQ|20160424074545|BEU-30|||//6/13/2016 1:01:58 AM
CAD_U|CABEU|HLT406|AIQ|20160424074545|BEU-30|||//6/13/2016 1:01:58 AM
CAD_U|CACDF|T74|AIQ|20160606133302|HAAB|||//6/13/2016 1:01:58 AM
CAD_U|CACDF|T74|AIQ|20160606133302|HAAB|||//6/13/2016 1:01:58 AM
CAD_U|CACDF|T74|AIQ|20160606133302|HAAB|||//6/13/2016 1:01:58 AM
CAD_U|CACDF|T80|AIQ|20160607162551|HAAB|||//6/13/2016 1:01:58 AM
CAD_U|CACDF|T80|AIQ|20160607162551|HAAB|||//6/13/2016 1:01:58 AM
CAD_U|CACDF|T80|AIQ|20160607162551|HAAB|||//6/13/2016 1:01:58 AM
CAD_U|CAFKU|E4364|AIQ|20160523060451|FKU-1A|||//6/13/2016 1:01:59 AM
CAD_U|CAFKU|E4364|AIQ|20160523060451|FKU-1A|||//6/13/2016 1:01:59 AM
CAD_U|CAFKU|E4368|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:59 AM
CAD_U|CAFKU|E4368|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:59 AM
CAD_U|CAFKU|E4368|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:59 AM
CAD_U|CAFKU|E4371|AIQ|20160611092557|FKU-2|||//6/13/2016 1:01:59 AM
CAD_U|CAFKU|E4371|AIQ|20160611092557|FKU-2|||//6/13/2016 1:01:59 AM
CAD_U|CAFKU|E4371|AIQ|20160611092557|FKU-2|||//6/13/2016 1:01:59 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:02:00 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:02:00 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:02:00 AM
CAD_U|CAFKU|E4382|AIQ|20160608085544|FKU-2|||//6/13/2016 1:02:00 AM
CAD_U|CAFKU|E4382|AIQ|20160608085544|FKU-2|||//6/13/2016 1:02:00 AM
CAD_U|CAFKU|E4382|AIQ|20160608085544|FKU-2|||//6/13/2016 1:02:00 AM
CAD_U|CAFKU|E4383|AIQ|20160520174508|FKU-1A|||//6/13/2016 1:02:02 AM
CAD_U|CAFKU|E4383|AIQ|20160520174508|FKU-1A|||//6/13/2016 1:02:02 AM
CAD_U|CAFKU|E4383|AIQ|20160520174508|FKU-1A|||//6/13/2016 1:02:02 AM
CAD_U|CAFKU|MIR1|AIQ|20160523060811|FKU-2|||//6/13/2016 1:02:02 AM
CAD_U|CAFKU|MIR1|AIQ|20160523060811|FKU-2|||//6/13/2016 1:02:02 AM
CAD_U|CAFKU|MIR1|AIQ|20160523060811|FKU-2|||//6/13/2016 1:02:02 AM
CAD_U|CAFKU|MIR2|AIQ|20160529072136|FKU-2|||//6/13/2016 1:02:02 AM
CAD_U|CAFKU|MIR2|AIQ|20160529072136|FKU-2|||//6/13/2016 1:02:02 AM
CAD_U|CAFKU|MIR2|AIQ|20160529072136|FKU-2|||//6/13/2016 1:02:02 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:03 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:03 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:18:10 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:18:10 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 1:18:10 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:10 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:11 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:11 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:11 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:11 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:11 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:12 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:12 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:16 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:17 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:20 AM
CAD_E|CACMB16008613|CASLU|EMS3CDF/|20160613011801|OOA|OTH, ASSIST|-121.112592|35.573352|6316 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//6/13/2016 1:18:20 AM
