CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//11/27/2012 1:29:50 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//11/27/2012 1:29:51 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//11/27/2012 1:29:51 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//11/27/2012 1:29:53 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//11/27/2012 1:29:53 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//11/27/2012 1:29:53 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//11/27/2012 1:29:54 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//11/27/2012 1:29:54 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//11/27/2012 1:29:54 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//11/27/2012 1:29:55 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//11/27/2012 1:29:55 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//11/27/2012 1:29:55 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//11/27/2012 1:29:56 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//11/27/2012 1:29:56 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//11/27/2012 1:29:56 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//11/27/2012 1:29:57 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//11/27/2012 1:29:57 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//11/27/2012 1:29:57 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//11/27/2012 1:29:58 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//11/27/2012 1:29:58 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//11/27/2012 1:29:58 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//11/27/2012 1:29:59 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//11/27/2012 1:29:59 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//11/27/2012 1:29:59 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//11/27/2012 1:30:00 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//11/27/2012 1:30:00 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//11/27/2012 1:30:00 AM
CAD_U|CAFKU|E4354|AIQ|20121125124423|FKU-1A|||//11/27/2012 1:30:01 AM
CAD_U|CAFKU|E4354|AIQ|20121125124423|FKU-1A|||//11/27/2012 1:30:01 AM
CAD_U|CAFKU|E4362|AIQ|20121125124220|FKU-2|||//11/27/2012 1:30:03 AM
CAD_U|CAFKU|E4362|AIQ|20121125124220|FKU-2|||//11/27/2012 1:30:03 AM
CAD_U|CAFKU|E4362|AIQ|20121125124220|FKU-2|||//11/27/2012 1:30:03 AM
CAD_U|CAFKU|E4363|AIQ|20121125124306|FKU-2|||//11/27/2012 1:30:04 AM
CAD_U|CAFKU|E4363|AIQ|20121125124306|FKU-2|||//11/27/2012 1:30:04 AM
CAD_U|CAFKU|E4363|AIQ|20121125124306|FKU-2|||//11/27/2012 1:30:04 AM
CAD_U|CAFKU|E4364|AIQ|20121125124406|FKU-1A|||//11/27/2012 1:30:05 AM
CAD_U|CAFKU|E4364|AIQ|20121125124406|FKU-1A|||//11/27/2012 1:30:05 AM
CAD_U|CAFKU|E4368|AIQ|20121126154539|FKU-2|||//11/27/2012 1:30:06 AM
CAD_U|CAFKU|E4368|AIQ|20121126154539|FKU-2|||//11/27/2012 1:30:06 AM
CAD_U|CAFKU|E4368|AIQ|20121126154539|FKU-2|||//11/27/2012 1:30:06 AM
CAD_U|CAFKU|E4373|AIQ|20121125124320|FKU-2|||//11/27/2012 1:30:07 AM
CAD_U|CAFKU|E4373|AIQ|20121125124320|FKU-2|||//11/27/2012 1:30:07 AM
CAD_U|CAFKU|E4373|AIQ|20121125124320|FKU-2|||//11/27/2012 1:30:07 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//11/27/2012 1:30:08 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//11/27/2012 1:30:08 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//11/27/2012 1:30:08 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//11/27/2012 1:30:09 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//11/27/2012 1:30:09 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//11/27/2012 1:30:09 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//11/27/2012 1:30:10 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//11/27/2012 1:30:10 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//11/27/2012 1:30:10 AM
CAD_U|CABEU|E4694|AIQ|20120906200523|BEU-30|||//11/27/2012 1:30:11 AM
CAD_U|CABEU|E4694|AIQ|20120906200523|BEU-30|||//11/27/2012 1:30:11 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//11/27/2012 1:30:13 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//11/27/2012 1:30:13 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//11/27/2012 1:30:13 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//11/27/2012 1:30:14 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//11/27/2012 1:30:14 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//11/27/2012 1:30:14 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//11/27/2012 1:30:15 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//11/27/2012 1:30:15 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//11/27/2012 1:30:15 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//11/27/2012 1:30:16 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//11/27/2012 1:30:16 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//11/27/2012 1:30:16 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//11/27/2012 1:30:17 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//11/27/2012 1:30:17 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//11/27/2012 1:30:17 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//11/27/2012 1:30:18 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//11/27/2012 1:30:18 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//11/27/2012 1:30:18 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//11/27/2012 1:30:19 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//11/27/2012 1:30:19 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//11/27/2012 1:30:19 AM
CAD_U|CAFKU|E4383|AIQ|20121125124353|FKU-1A|||//11/27/2012 1:30:20 AM
CAD_U|CAFKU|E4383|AIQ|20121125124353|FKU-1A|||//11/27/2012 1:30:20 AM
CAD_U|CAFKU|E4383|AIQ|20121125124353|FKU-1A|||//11/27/2012 1:30:20 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//11/27/2012 1:30:21 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//11/27/2012 1:30:21 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//11/27/2012 1:30:21 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//11/27/2012 1:30:22 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//11/27/2012 1:30:22 AM
CAD_U|CAFKU|MIR1|AIQ|20120521091529|FKU-2|||//11/27/2012 1:30:22 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//11/27/2012 1:30:24 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//11/27/2012 1:30:24 AM
CAD_U|CAFKU|MIR2|AIQ|20120521091620|FKU-2|||//11/27/2012 1:30:24 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//11/27/2012 1:30:25 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//11/27/2012 1:30:25 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//11/27/2012 1:30:25 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//11/27/2012 1:30:26 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//11/27/2012 1:30:26 AM
CAD_U|CAFKU|MIR4|AIQ|20120521100646|FKU-2|||//11/27/2012 1:30:26 AM
CAD_E|CACMB12010969|CASLU|EMS3CDF/|20121127014730|OOA|OTH, ASSIST|-121.112862|35.574712|6470 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5/21_T27S_R08E_M|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//11/27/2012 1:47:50 AM
CAD_E|CACMB12010969|CASLU|EMS3CDF/|20121127014730|OOA|OTH, ASSIST|-121.112862|35.574712|6470 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5/21_T27S_R08E_M|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//11/27/2012 1:47:51 AM
CAD_E|CACMB12010969|CASLU|EMS3CDF/|20121127014730|OOA|OTH, ASSIST|-121.112862|35.574712|6470 MOONSTONE BEACH DR |CAMBRIA|200 BLK WEYMOUTH ST|UNNAMED RD|528_D_5/21_T27S_R08E_M|||||Command: ;Pri Tactical: ;Alt Tactical: ;Air-to-Ground: ;//11/27/2012 1:47:56 AM
