CAD_U|CAFKU|MIR3|AIQ|20120416083911|FKU-1A|||//4/21/2012 12:28:46 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//4/21/2012 12:28:47 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//4/21/2012 12:28:47 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//4/21/2012 12:28:47 AM
CAD_U|CAFKU|MIR4|AIQ|20120414083350|FKU-2|||//4/21/2012 12:28:48 AM
CAD_U|CAFKU|MIR4|AIQ|20120414083350|FKU-2|||//4/21/2012 12:28:48 AM
CAD_U|CAFKU|MIR4|AIQ|20120414083350|FKU-2|||//4/21/2012 12:28:48 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//4/21/2012 12:28:48 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//4/21/2012 12:28:48 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//4/21/2012 12:28:48 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//4/21/2012 12:28:49 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//4/21/2012 12:28:49 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//4/21/2012 12:28:49 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//4/21/2012 12:28:50 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//4/21/2012 12:28:50 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//4/21/2012 12:28:50 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//4/21/2012 12:28:51 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//4/21/2012 12:28:51 AM
CAD_U|CAFKU|MIR3|AIQ|20120401081552|FKU-1A|||//4/21/2012 12:28:52 AM
CAD_U|CACDF|T78|AIQ|20120419100925|FAAB|||//4/21/2012 12:28:53 AM
CAD_U|CACDF|T78|AIQ|20120419100925|FAAB|||//4/21/2012 12:28:53 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:42:37 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:42:37 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:42:38 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:45:59 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:45:59 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:45:59 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:48:35 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:48:35 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:48:36 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:54:14 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:54:14 AM
CAD_U|CAFKU|E4383|AIQ|20120412080001|FKU-1A|||//4/21/2012 12:54:14 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//4/21/2012 1:18:15 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//4/21/2012 1:18:15 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//4/21/2012 1:18:15 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//4/21/2012 1:18:16 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//4/21/2012 1:18:16 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//4/21/2012 1:18:16 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//4/21/2012 1:18:17 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//4/21/2012 1:18:17 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//4/21/2012 1:18:17 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//4/21/2012 1:18:18 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//4/21/2012 1:18:18 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//4/21/2012 1:18:18 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 1:18:19 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 1:18:19 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 1:18:19 AM
CAD_U|CABEU|E4663|AIQ|20120419110146|BEU-30|||//4/21/2012 1:18:20 AM
CAD_U|CABEU|E4663|AIQ|20120419110146|BEU-30|||//4/21/2012 1:18:20 AM
CAD_U|CABEU|E4663|AIQ|20120419110146|BEU-30|||//4/21/2012 1:18:20 AM
CAD_U|CABEU|E4664|AIQ|20120419112239|BEU-31|||//4/21/2012 1:18:22 AM
