CAD_E|CASLC11007346//8/14/2011 12:11:59 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//8/14/2011 12:18:41 AM
CAD_U|CAFKU|MIR3|AIQ|20110610130946|FKU-1A|||//8/14/2011 12:18:41 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//8/14/2011 12:18:42 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//8/14/2011 12:18:42 AM
CAD_U|CABEU|E4693|AIQ|20110530073250|BEU-30|||//8/14/2011 12:18:42 AM
CAD_U|CABEU|E4694|AIQ|20110725142733|BEU-30|||//8/14/2011 12:18:43 AM
CAD_U|CABEU|E4694|AIQ|20110725142733|BEU-30|||//8/14/2011 12:18:43 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//8/14/2011 12:18:44 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//8/14/2011 12:18:44 AM
CAD_U|CABEU|GAB1|AIQ|20110628164017|BEU-30|||//8/14/2011 12:18:44 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//8/14/2011 12:18:45 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//8/14/2011 12:18:45 AM
CAD_U|CABEU|GAB2|AIQ|20110628164018|BEU-30|||//8/14/2011 12:18:45 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//8/14/2011 12:18:46 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//8/14/2011 12:18:46 AM
CAD_U|CABEU|GAB3|AIQ|20110529223920|BEU-30|||//8/14/2011 12:18:46 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//8/14/2011 12:18:48 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//8/14/2011 12:18:48 AM
CAD_U|CABEU|GAB4|AIQ|20110628055945|BEU-30|||//8/14/2011 12:18:48 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//8/14/2011 12:18:49 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//8/14/2011 12:18:49 AM
CAD_U|CABEU|GAB5|AIQ|20110610130937|BEU-30|||//8/14/2011 12:18:49 AM
CAD_U|CACDF|T80|AIQ|20110628162623|HAAB|||//8/14/2011 12:18:50 AM
CAD_U|CACDF|T80|AIQ|20110628162623|HAAB|||//8/14/2011 12:18:50 AM
CAD_U|CACDF|T81|AIQ|20110628162625|HAAB|||//8/14/2011 12:18:51 AM
CAD_U|CACDF|T81|AIQ|20110628162625|HAAB|||//8/14/2011 12:18:51 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//8/14/2011 12:18:52 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//8/14/2011 12:18:52 AM
CAD_U|CAFKU|MIR4|AIQ|20110610130948|FKU-2|||//8/14/2011 12:18:52 AM
CAD_U|CACDF|T78|AIQ|20110703175646|FAAB|||//8/14/2011 12:18:53 AM
CAD_U|CACDF|T78|AIQ|20110703175646|FAAB|||//8/14/2011 12:18:53 AM
CAD_U|CACDF|C406|AIQ|20110802073524|BVHB|||//8/14/2011 12:18:57 AM
CAD_U|CACDF|C406|AIQ|20110802073524|BVHB|||//8/14/2011 12:18:57 AM
CAD_U|CABEU|D4641|AIQ|20110622071900|BEU-30|||//8/14/2011 12:18:58 AM
CAD_U|CABEU|D4641|AIQ|20110622071900|BEU-30|||//8/14/2011 12:18:58 AM
CAD_U|CABEU|D4641|AIQ|20110622071900|BEU-30|||//8/14/2011 12:18:58 AM
CAD_U|CABEU|D4643|AIQ|20110731174602|BEU-30|||//8/14/2011 12:18:59 AM
CAD_U|CABEU|D4643|AIQ|20110731174602|BEU-30|||//8/14/2011 12:18:59 AM
CAD_U|CABEU|D4643|AIQ|20110731174602|BEU-30|||//8/14/2011 12:18:59 AM
CAD_U|CABEU|D4645|AIQ|20110722075032|BEU-30|||//8/14/2011 12:19:00 AM
CAD_U|CABEU|D4645|AIQ|20110722075032|BEU-30|||//8/14/2011 12:19:00 AM
CAD_U|CABEU|D4645|AIQ|20110722075032|BEU-30|||//8/14/2011 12:19:00 AM
CAD_U|CABEU|E4656|AIQ|20110622094909|BEU-30|||//8/14/2011 12:19:01 AM
CAD_U|CABEU|E4656|AIQ|20110622094909|BEU-30|||//8/14/2011 12:19:01 AM
CAD_U|CABEU|E4656|AIQ|20110622094909|BEU-30|||//8/14/2011 12:19:01 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//8/14/2011 12:19:02 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//8/14/2011 12:19:02 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//8/14/2011 12:19:02 AM
CAD_U|CABEU|E4661|AIQ|20110809155711|BEU-30|||//8/14/2011 12:19:03 AM
CAD_U|CABEU|E4661|AIQ|20110809155711|BEU-30|||//8/14/2011 12:19:03 AM
CAD_U|CABEU|E4661|AIQ|20110809155711|BEU-30|||//8/14/2011 12:19:03 AM
CAD_U|CABEU|E4663|AIQ|20110727220317|BEU-30|||//8/14/2011 12:19:05 AM
CAD_U|CABEU|E4663|AIQ|20110727220317|BEU-30|||//8/14/2011 12:19:05 AM
CAD_U|CABEU|E4663|AIQ|20110727220317|BEU-30|||//8/14/2011 12:19:05 AM
CAD_U|CABEU|E4664|AIQ|20110731175739|BEU-31|||//8/14/2011 12:19:06 AM
CAD_U|CABEU|E4664|AIQ|20110731175739|BEU-31|||//8/14/2011 12:19:06 AM
CAD_U|CABEU|E4665|AIQ|20110731161631|BEU-30|||//8/14/2011 12:19:07 AM
CAD_U|CABEU|E4665|AIQ|20110731161631|BEU-30|||//8/14/2011 12:19:07 AM
CAD_U|CABEU|E4665|AIQ|20110731161631|BEU-30|||//8/14/2011 12:19:07 AM
CAD_U|CABEU|E4666|AIQ|20110727220317|BEU-30|||//8/14/2011 12:19:08 AM
CAD_U|CABEU|E4666|AIQ|20110727220317|BEU-30|||//8/14/2011 12:19:08 AM
CAD_U|CABEU|E4666|AIQ|20110727220317|BEU-30|||//8/14/2011 12:19:08 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//8/14/2011 12:19:09 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//8/14/2011 12:19:09 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//8/14/2011 12:19:09 AM
CAD_U|CABEU|E4674|AIQ|20110709161944|BEU-30|||//8/14/2011 12:19:10 AM
CAD_U|CABEU|E4674|AIQ|20110709161944|BEU-30|||//8/14/2011 12:19:10 AM
CAD_U|CABEU|E4675|AIQ|20110527163417|BEU-30|||//8/14/2011 12:19:11 AM
CAD_U|CABEU|E4675|AIQ|20110527163417|BEU-30|||//8/14/2011 12:19:11 AM
CAD_U|CABEU|E4675|AIQ|20110527163417|BEU-30|||//8/14/2011 12:19:11 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//8/14/2011 12:19:12 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//8/14/2011 12:19:12 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//8/14/2011 12:19:12 AM
CAD_U|CABEU|E4679|AIQ|20110813174641|BEU-30|||//8/14/2011 12:19:14 AM
